run_id,event_index,backend_id,proof_type,proof_size_bytes,verification_time_ms,status,error_code
W2-A2-merkle-R01,17,A2-merkle,inclusion,304,0.010696,ok,
W2-A2-merkle-R01,18,A2-merkle,inclusion,304,0.009735,ok,
W2-A2-merkle-R01,19,A2-merkle,inclusion,373,0.012429,ok,
W2-A2-merkle-R01,20,A2-merkle,inclusion,304,0.012919,ok,
W2-A2-merkle-R01,21,A2-merkle,inclusion,373,0.025268,ok,
W2-A2-merkle-R01,22,A2-merkle,inclusion,373,0.014752,ok,
W2-A2-merkle-R01,23,A2-merkle,inclusion,442,0.017847,ok,
W2-A2-merkle-R01,24,A2-merkle,inclusion,304,0.011067,ok,
W2-A2-merkle-R01,25,A2-merkle,inclusion,373,0.014021,ok,
W2-A2-merkle-R01,26,A2-merkle,inclusion,373,0.014231,ok,
W2-A2-merkle-R01,27,A2-merkle,inclusion,442,0.016585,ok,
W2-A2-merkle-R02,0,A2-merkle,inclusion,165,0.005608,ok,
W2-A2-merkle-R02,1,A2-merkle,inclusion,233,0.008903,ok,
W2-A2-merkle-R02,2,A2-merkle,inclusion,233,0.007902,ok,
W2-A2-merkle-R02,3,A2-merkle,inclusion,302,0.010636,ok,
W2-A2-merkle-R02,4,A2-merkle,inclusion,233,0.007501,ok,
W2-A2-merkle-R02,5,A2-merkle,inclusion,302,0.010306,ok,
W2-A2-merkle-R02,6,A2-merkle,inclusion,302,0.013370,ok,
W2-A2-merkle-R02,7,A2-merkle,inclusion,371,0.013650,ok,
W2-A2-merkle-R02,8,A2-merkle,inclusion,233,0.007311,ok,
W2-A2-merkle-R02,9,A2-merkle,inclusion,303,0.010146,ok,
W2-A2-merkle-R02,10,A2-merkle,inclusion,304,0.009855,ok,
W2-A2-merkle-R02,11,A2-merkle,inclusion,373,0.013651,ok,
W2-A2-merkle-R02,12,A2-merkle,inclusion,304,0.009875,ok,
W2-A2-merkle-R02,13,A2-merkle,inclusion,373,0.012409,ok,
W2-A2-merkle-R02,14,A2-merkle,inclusion,373,0.012158,ok,
W2-A2-merkle-R02,15,A2-merkle,inclusion,442,0.016094,ok,
W2-A2-merkle-R02,16,A2-merkle,inclusion,235,0.007171,ok,
W2-A2-merkle-R02,17,A2-merkle,inclusion,304,0.010145,ok,
W2-A2-merkle-R02,18,A2-merkle,inclusion,304,0.015694,ok,
W2-A2-merkle-R02,19,A2-merkle,inclusion,373,0.013250,ok,
W2-A2-merkle-R02,20,A2-merkle,inclusion,304,0.010877,ok,
W2-A2-merkle-R02,21,A2-merkle,inclusion,373,0.013160,ok,
W2-A2-merkle-R02,22,A2-merkle,inclusion,373,0.013531,ok,
W2-A2-merkle-R02,23,A2-merkle,inclusion,442,0.015473,ok,
W2-A2-merkle-R02,24,A2-merkle,inclusion,304,0.010686,ok,
W2-A2-merkle-R02,25,A2-merkle,inclusion,373,0.013481,ok,
W2-A2-merkle-R02,26,A2-merkle,inclusion,373,0.012458,ok,
